"COLECTIVO","PROGRAMA","CIF","ENTIDAD","PROYECTO","IMPORTE",,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-79362497","FUNDACIÓN SAVE THE CHILDREN","CONSEJOS/COMISIONES/ FOROS DE PARTICIPACIÓN",31000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-83117374","FUNDACIÓN SECRETARIADO GITANO","JUVENTUD “RED JUVENIL DE INFORMACIÓN Y PARTICIPACIÓN JUVENIL “CHAVÓS NEBÓ - JÓVENES DE HOY”",20000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-78024999","FUNDACIÓN SEXPOL PARA EL DESARROLLO DE LA SALUD Y EL BIENESTAR SEXUAL","PROGRAMA INTEGRAL PARA LA SALUD CON ACTUACIONES EN: PREVENCIÓN DE EMBARAZOS NO DESEADOS, INFECCIONES DE TRANSMISIÓN SEXUAL Y TERAPIA PSICOSEXUAL Y DE PAREJA",30000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-78519543","LIGA ESPAÑOLA DE LA EDUCACIÓN Y LA CULTURA POPULAR","INTEGRACIÓN JUVENIL SOLIDARIA (INJUSO)",70000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-08754210","MOVIMIENTO SCOUT CATÓLICO","PROMOCIÓN SOCIAL DE LOS JÓVENES",161000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-28556728","ORGANIZACIÓN JUVENIL ESPAÑOLA","EDUCACIÓN EN VALORES MEDIANTE EL CONOCIMIENTO DE LA NATURALEZA",40000,,,
"JÓVENES","ACTUACIONES QUE CONTRIBUYAN A LA PROMOCIÓN DE LA PARTICIPACIÓN SOCIAL DE LOS Y LAS JÓVENES Y AL DESARROLLO Y ACTIVIDADES DE OCIO Y TIEMPO LIBRE","G-58579806","RED ARAÑA, TEJIDO DE ENTIDADES SOCIALES POR EL EMPLEO","RED LABORA",305000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-60652658","ASSOCIACIÓ DE CASALS I GRUPS DE JOVES DE CATALUNYA","LA SALUD SE ASOCIA",10000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-46949376","CONFEDERACIÓN DE CENTROS JUVENILES DON BOSCO DE ESPAÑA","EDUCACIÓN PARA LA SALUD",79000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","EDUCACIÓN PARA LA SALUD","897370,38",,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-28498954","FEDERACIÓN DE ASOCIACIONES DE SCOUTS DE ESPAÑA (ASDE) EXPLORADORES DE ESPAÑA","EDUCACIÓN PARA LA SALUD",155000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-78764966","FEDERACIÓN DE MUJERES PROGRESISTAS","EDUCACIÓN PARA LA SALUD EN JÓVENES: LAS RELACIONES IGUALITARIAS Y LA PREVENCIÓN DE EMBARAZOS NO DESEADOS",30000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","V-78419884","FEDERACIÓN DE PLANIFICACIÓN FAMILIAR ESTATAL","ATENCIÓN A JÓVENES EN SALUD SEXUAL",112000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","R-05800395-E","FUNDACIÓ PÍA AUTÓNOMA INSTITUT PERE TARRÉS D’EDUCACIÓ EN L’ESPLAI (FUNDACIÓ PERE TARRÉS)","JUVENTUD Y VALORES",65000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-78350980","FUNDACIÓN DE AYUDA CONTRA LA DROGADICCIÓN","“Y TÚ, ¿QUÉ PIENSAS?” EDUCACIÓN SOBRE ESTILOS DE VIDA Y PREVENCIÓN DE RIESGOS PSICOSOCIALES",96500,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-81577942","FUNDACIÓN DE DERECHOS CIVILES","CAMPAÑA JÓVEN DE SEGURIDAD VIAL",51000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-83500512","FUNDACIÓN DE EDUCACIÓN PARA LA SALUD","PAJEPS PROGRAMA DE AGENTES JÓVENES EN EDUCACIÓN PARA LA SALUD",45000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-81520041","FUNDACIÓN DESARROLLO SOSTENIDO","MEDIO AMBIENTE EN LA CIUDAD III: AHORA ACTÚA.",60000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-64203045","FUNDACIÓN IGENUS","MEJORA DE LAS ACTITUDES Y VALORES SALUDABLES QUE PERMITAN EL MANTENIMIENTO DE AMBIENTES SANOS PROMOVIDOS POR JÓVENES",20000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-80663347","FUNDACIÓN INICIATIVAS SUR","FORMACIÓN Y EMPLEO PARA JÓVENES CON PROBLEMAS DE ACCESO AL MERCADO DE TRABAJO",40000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-78519543","LIGA ESPAÑOLA DE LA EDUCACIÓN Y LA CULTURA POPULAR","CENTROS JUVENILES DE EDUCACIÓN PARA LA SALUD",82000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-08754210","MOVIMIENTO SCOUT CATÓLICO","EDUCACIÓN PARA LA SALUD Y EL MEDIOAMBIENTE",139000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-80230774","RED ACOGE","EDUCACIÓN SEXUAL Y REPRODUCTIVA EN CONTEXTOS DE DIVERSIDAD CULTURAL",50000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-58433756","SIDA STUDI","EDUCACIÓN PARA LA SALUD SEXUAL DE LOS/LAS JÓVENES",35000,,,
"JÓVENES","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL","G-78005386","UNIÓN ESPAÑOLA DE ASOCIACIONES Y ENTIDADES DE ATENCIÓN AL DROGODEPENDIENTE","ACTUACIONES QUE FOMENTEN LA ADQUISICIÓN DE HÁBITOS DE VIDA SALUDABLE Y DE EDUCACIÓN MEDIOAMBIENTAL",30000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-97741490","ASOCIACIÓN DE MUJERES CON DISCAPACIDAD XARXA","RED INTERNACIONAL DE MUJERES CON DISCAPACIDAD",20000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-28197564","ASOCIACIÓN ESPAÑOLA CONTRA EL CÁNCER","MUCHO X VIVIR: PROGRAMA DE ATENCIÓN INTEGRAL PARA MUJERES CON CÁNCER DE MAMA",293732,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-28592558","ASOCIACIÓN ESPAÑOLA PARA EL REGISTRO Y ESTUDIO DE LAS MALFORMACIONES CONGÉNITAS","SERVICIO DE INFORMACIÓN TELEFÓNICA PARA LA EMBARAZADA / SITE",20000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-28809663","ASOCIACIÓN FEDERACIÓN ESPAÑOLA DE UNIVERSIDADES POPULARES","PROGRAMA ESTATAL  DE EJECUCIÓN EN COMUNIDADES AUTÓNOMAS, DE INTERVENCIÓN SOCIOEDUCATIVA QUE FOMENTE LA PARTICIPACIÓN DE LAS MUJERES A TRAVÉS DE ACTIVIDADES FORMATIVAS, CULTURALES Y DE TIEMPO LIBRE",160050,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-80222607","ASOCIACIÓN MUJERES OPAÑEL","FORMACIÓN BÁSICA PRELIMINAR DE MUJERES PARA LA INSERCIÓN SOCIAL",79450,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-78571833","ASOCIACIÓN MUJERES PARA LA SALUD","CENTRO DE ATENCIÓN ALTERNATIVA A LA SALUD DE LAS MUJERES CON GRAVES PROBLEMAS SOCIOECONÓMICOS Y FAMILIARES",217000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-58335100","ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL","ITINERARIOS DE FORMACIÓN PARA LA INSERCIÓN SOCIOLABORAL DE MUJERES PROVINIENTES DE DESFAVORECIDOS - MUJERES QUE EJERCEN LA PROSTITUCIÓN-Y MEDIDAS DE ATENCIÓN Y PREVENCIÓN SANITARIA Y SOCIAL",79152,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-58310376","ASOCIACIÓN SALUD Y FAMILIA","EDUCACIÓN PARA LA SALUD",134455,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-58310376","ASOCIACIÓN SALUD Y FAMILIA","PROGRAMA BRÚJULA: ASESORAMIENTO Y APOYO JURÍDICO Y PSICOSOCIAL PARA MUJERES VULNERABLES",43055,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","R-02800560-A","CÁRITAS ESPAÑOLA","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL",424000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-81639759","COMITÉ ESPAÑOL DE REPRESENTANTES DE PERSONAS CON DISCAPACIDAD","PROGRAMA DE MENTORADO SOCIAL DIRIGIDO A MUJERES CON DISCAPACIDAD",20000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-28729283","CONFEDERACIÓN DE FEDERACIONES Y ASOCIACIONES  DE VIUDAS HISPANIA","FOMENTO DE LA CALIDAD DE VIDA DE LAS MUJERES VIUDAS",53350,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-82803578","COORDINADORA ESTATAL DE PLATAFORMAS SOCIALES SALESIANA"," MUJERES, EDUCACIÓN E INSERCIÓN SOCIAL",12500,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-91274035","FEDERACIÓN ANDALUZA DE MUJERES GITANAS","APRENDIENDO A ESTAR SANA",66000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-28876852","FEDERACIÓN DE COLECTIVOS DE EDUCACIÓN PERMANENTE DE ADULTOS","ASESORAMIENTO, ORIENTACIÓN LABORAL Y FORMATIVA DE MUJERES",29152,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-78764966","FEDERACIÓN DE MUJERES PROGRESISTAS","EN-CL@VE DE MUJERES",50463,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-79447439","FOREM. FUNDACIÓN FORMACIÓN Y EMPLEO MIGUEL ESCALERA","ALFABETIZACIÓN DE MUJERES EN BARRIOS DEPRIMIDOS DE CEUTA",75150,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-79447439","FOREM. FUNDACIÓN FORMACIÓN Y EMPLEO MIGUEL ESCALERA","FOMENTO DEL EMPLEO Y AUTOEMPLEO DE MUJERES EN RIESGO DE EXCLUSIÓN SOCIAL EN MELILLA",18100,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-81436099","FUNDACIÓN ADSIS","EDUCACIÓN E INSERCIÓN SOCIAL DE LA MUJER (INEDMU)",10380,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-83618850","FUNDACIÓN PADRE GARRALDA- HORIZONTES ABIERTOS","STRADAS (I Y III)",58200,,,
"MUJERES","PROGRAMAS DIRIGIDOS A CONSEGUIR LA INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL","G-78005386","UNIÓN ESPAÑOLA DE ASOCIACIONES Y ENTIDADES DE ATENCIÓN AL DROGODEPENDIENTE","INSERCIÓN SOCIAL DE LAS MUJERES QUE SE ENCUENTRAN EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN",25000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-00000010","AGRUPACIÓN IDUFAMS: FEDERACIÓN DE ASOCIACIONES DE MADRES SOLTERAS Y FUNDACIÓN DE FAMILIAS MONOPARENTALES ISADORA DUNCAN","PISOS DE ACOGIDA DE MADRES SOLTERAS","165126,28",,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-28766202","ASOCIACIÓN DE FAMILIAS Y MUJERES DEL MEDIO RURAL","INCORPORACIÓN A PROCESOS DE FORMACIÓN Y ACCESO AL EMPLEO",215000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-63152185","ASOCIACIÓN DE FEDERACIONES Y ASOCIACIONES DE EMPRESARIAS DEL MEDITERRÁNEO","FOMENTO DE LA EMPRENDEDURÍA FEMENINA DESDE LAS UNIVERSIDADES",29100,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-80222607","ASOCIACIÓN MUJERES OPAÑEL","SERVICIO INTEGRAL DE ASESORÍA A LA INSERCIÓN LABORAL DE MUJERES",85450,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-28766251","ASOCIACIÓN SEMILLA PARA LA INTEGRACIÓN SOCIAL","FOMENTO DE EMPLEO Y AUTOEMPLEO",40000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","R-02800560-A","CÁRITAS ESPAÑOLA","FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL",54000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-34102160","COLECTIVOS DE ACCIÓN SOLIDARIA","FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL",35123,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-28681955","CONFEDERACIÓN ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA","ATENCIÓN INTEGRAL PARA MUJERES CON DISCAPACIDAD",20000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-81434847","COORDINADORA ESPAÑOLA PARA EL LOBBBY EUROPEO DE MUJERES","PROGRAMAS PARA MUJERES: CURSOS DE FORMACIÓN TUTORIZADOS SOBRE HERRAMIENTAS OFIMÁTICAS DE CÓDIGO LIBRE PARA MUJERES",33000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","PUENTES HACIA EL EMPLEO: SERVICIO DE MEDIACIÓN SOCIO-LABORAL Y ACOMPAÑAMIENTO E INSERCIÓN HACIA EL EMPLEO",84000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-62734702","DONES PER LA LLIBERTAT I DEMOCRACIA","MARKETING PERSONAL: ITINERARIO FORMATIVO PARA LA INSERCIÓN LABORAL DE LAS MUJERES",31000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-84095389","FEDERACIÓN DE ASOCIACIONES DE MUJERES RURALES","COOPERATIVAS RURALES DE SERVICIOS DE PROXIMIDAD 2009-2010",255000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-84095389","FEDERACIÓN DE ASOCIACIONES DE MUJERES RURALES","SIRURAL",40000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-78764966","FEDERACIÓN DE MUJERES PROGRESISTAS","INTEGRACIÓN LABORAL DE LAS MUJERES",198463,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-78764966","FEDERACIÓN DE MUJERES PROGRESISTAS","E-IGUÁLATE: PLATAFORMA DE ORIENTACIÓN SOCIOLABORAL CON PERSPECTIVA DE GÉNERO",49462,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","V-82616582","FEDERACIÓN DE MUJERES Y FAMILIAS DEL ÁMBITO RURAL","FORMACIÓN, ASESORAMIENTO Y MANTENIMIENTO DE REDES COMERCIALES",198388,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","V-78419884","FEDERACIÓN DE PLANIFICACIÓN FAMILIAR ESTATAL","CAMPAÑA DE SENSIBILIZACIÓN: CARTA DE LOS DERECHOS SEXUALES Y DE LOS DERECHOS REPRODUCTIVOS",39000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-80160211","FEDERACIÓN ESPAÑOLA DE MUJERES DIRECTIVAS EJECUTIVAS PROFESIONALES Y EMPRESARIAS","PROGRAMA EVOLUCIONA: ALTO RENDIMIENTO FEMENINO EN ENTORNOS LABORALES SALUDABLES Y EFICIENTES",40000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","V-40122426","FEDERACIÓN MUJER RURAL","FERIA INTERNACIONAL DE LA MUJER RURAL: ""PRONATURA""",150350,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-78947652","FUNDACIÓN LABORAL WWB EN ESPAÑA","AUTOEMPLEOMUJER.COM",45410,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-09316878","FUNDACIÓN LESMES","SERVICIOS DE PROXIMIDAD Y ATENCIÓN A LA DEPENDENCIA: FORMACIÓN Y EMPLEO",25000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-80974702","FUNDACIÓN MUJERES","ACTÍVATE BUSCANDO EMPLEO",120000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-80974702","FUNDACIÓN MUJERES","ACTÍVATE CREANDO EMPRESAS",220000,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-79331427","ORGANIZACIÓN DE MUJERES EMPRESARIAS Y GERENCIA ACTIVA","SIMUL@",58200,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-35103431","RADIO ECCA FUNDACIÓN CANARIA","CONSEGUIR LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL EN NUEVOS SECTORES DE EMPLEO",126977,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-05138516","RED ESPAÑOLA DE DESARROLLO RURAL","PROGRAMAS PARA MUJERES.- INCORPORACIÓN MUNDO LABORAL",60551,,,
"MUJERES","PROGRAMAS DIRIGIDOS A FAVORECER LA INCORPORACIÓN DE LAS MUJERES AL MUNDO LABORAL","G-28474898","UNIÓN GENERAL DE TRABAJADORES  DE ESPAÑA","ARTEMISA",118340,,,
"MUJERES","PROGRAMAS DIRIGIDOS A PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES, EN TODAS SUS MANIFESTACIONES: VIOLENCIA DE GÉNERO, TRÁFICO CON FINES DE EXPLOTACIÓN SEXUAL (PROSTITUCIÓN) Y DELITOS CONTRA LA LIBERTAD SEXUAL","R-02801739-J","ADORATRICES ESCLAVAS DEL SANTÍSIMO SACRAMENTO Y DE LA CARIDAD. PROVINCIA ESPAÑA. CURIA PROVINCIAL.","ATENCIÓN INTEGRAL A MUJERES VÍCTIMAS DE LA TRATA CON FINES DE EXPLOTACIÓN",52314,,,
"MUJERES","PROGRAMAS DIRIGIDOS A PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES, EN TODAS SUS MANIFESTACIONES: VIOLENCIA DE GÉNERO, TRÁFICO CON FINES DE EXPLOTACIÓN SEXUAL (PROSTITUCIÓN) Y DELITOS CONTRA LA LIBERTAD SEXUAL","R-02801739-J","ADORATRICES ESCLAVAS DEL SANTÍSIMO SACRAMENTO Y DE LA CARIDAD. PROVINCIA ESPAÑA. CURIA PROVINCIAL.","SICAR CAT",107363,,,
